skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
1,0,8 5 2 5 x 1 3  =?,1,,110825,120855,110725,,
1,0,1 9 8 5 7 x 12 = ?,1,,238284,238184,238264,,
1,0,3 0 1 5 8 x 1 6 = ?,2,,482428,482528,482518,,
1,0,2 7 0 4 1 x 1 9 = ?,3,,513769,513679,513779,,
1,0,6 9 8 6 x 1 5 = ?,1,,104790,104780,104690,,
1,0,8 4 7 1 0 9 x 1 4 = ?,3,,11859416,11759526,11859526,,
1,0,7 8 7 x 1 7 =? ,2,,13369,13379,13389,,
1,0,5 1 4 3 2 x 1 2 =?,1,,617184,617174,617194,,
1,0,8 4 7 x 1 7 = ?,2,,14389,14399,14379,,
1,0,6 5 7 x 1 7 = ?,2,,11269,11169,11369,,
