skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
1,0,Find Square of 51 = ?,3,,2501,2680,2601,,
1,0,Find Square of 281 = ?,1,,78961,78961,78951,,
1,0,Find Square of 391 = ?,3,,15291,15281,152881,,
1,0,Find Square of 271 = ?,1,,73441,73341,73451,,
1,0,Find Square of 841 = ?,2,,707261,707281,707271,,
1,0,Find Square of 71 = ?,2,,5141,5041,4941,,
1,0,Find Square of 411 = ?,3,,168121,168821,168921,,
1,0,Find Square of 621 = ?,1,,385641,385541,385631,,
1,0,Find Square of 721 = ?,2,,518841,519841,518741,,
1,0,Find Square of 531 = ?,1,,281961,281951,280961,,
