skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
1,0,Find day of 11 Dec 1113 = ?,3,,WEDNESDAY,FRIDAY,THURSDAY,,
1,0,Find Day of 17 jan. 2944 =?,3,,Monday,Saturday,Friday,,
1,0,Find Day of 12 April.1000 = ?,1,,Saturday,Sunday,Monday,,
1,0,Find Day of 28 May 900 = ?,1,,Friday,Wednesday,Thursday,,
1,0,Find Day of 23 Feb. 1200 = ?,3,,Monday,Tuesday,Wednesday,,
1,0,Find Day of 11 April 1408 = ?,2,,SUNDAY,MONDAY,Wednesday,,
1,0,Find Day of 5 Mar.2347 = ?,3,,Monday,Tuesday,Wednesday,,
1,0,Find Day of 31 Dec 3944 = ?,1,,SUNDAY,MONDAY,Thursday,,
1,0,Find Day of 9 Aug.3189 = ?,2,,SUNDAY,Wednesday,Friday,,
1,0,Find Day of 25 june 1381 = ?,3,,Saturday,Friday,Monday,,
1,0,Find Day of 17 Dec. 1523 = ?,1,,Monday,Tuesday,Wednesday,,
1,0,Find Day of 20 Oct.2474 = ?,2,,Tuesday,Saturday,Monday,,
1,0,Find Day of 12 April 604 = ?,1,,Thursday,Friday,Monday,,
1,0,Find Day of 27 May 710 = ?,2,,Saturday,Friday,Monday,,
1,0,Find Day of 22 Feb 1294 = ?,3,,SUNDAY,Saturday,Monday,,
1,0,Find Day of 17 Sept 1308 = ?,1,,Monday,Sunday,Friday,,
1,0,Find Day of 6 July 2757 = ?,2,,Thursday,Saturday,Sunday,,
1,0,Find Day of 30 Dec 4014 = ?,1,,Tuesday,MONDAY,Friday,,
1,0,Find Day of 9 Aug 2188 = ?,2,,Monday,Saturday,Sunday,,
1,0,Find Day of 31 June 281 = ?,3,,Tuesday,Wednesday,Friday,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
