skill_id,is_challenge,question,answer,explantion,option_1,option_2,option_3,option_4,option_5
,,8 3 x 1 5 = ?,1,,1245,1235,1225,,
,,6 7 x 1 5 = ?,2,,905,1005,1015,,
,,6 9 7 x 1 5 = ?,3,,10435,10445,10455,,
,,9 5 2 x 1 5 = ?,1,,1 4 2 8 0,1 4 3 8 0,1 4 4 8 0,,
,,8 5 x 6 5 = ?,2,,5 4 2 5,5 5 2 5,5 6 2 5,,
,,9 5 x 3 5 = ?,2,,3 2 2 5,3 3 2 5,3 4 2 5,,
,,2 1 5 x 3 5 = ?,1,,7 5 2 5,7 3 2 5,7 6 2 5,,
,,1 2 5 x 1 4 5 = ?,2,,1 8 0 2 5,1 8 1 2 5,1 8 2 2 5,,
,,A d d. 1 1 t o 2 0 = ?,2,,1 3 5,1 7 5,1 5 5,,
,,A d d. 4 3 t o 5 4 = ?,1,,5 8 2,5 8 4,5 8 0,,
,,A d d. 2 5 t o 3 4 = ?,2,,2 8 5,2 9 5,3 0 5,,
,,Add. 86 to 97 = ?,1,,1098,1078,1088,,
,,Choose Correct Table of 546 = ?,1,,546 1092 1638 2184 2730 3276 3822 4368 4914 5460,546 1092 1638 2174 2730 3376 3822 4368 4914 5460,546 1092 1638 2184 2730 3276 3822 4378 4714 5460,,
,,Choose Correct Table of 6542 = ?,2,,6542 13084 19626 26168 32720 39252 45794 52336 58878 65420,6542 13084 19626 26168 32710 39252 45794 52336 58878 65420,6542 13084 19626 26168 32710 39252 45784 52336 58878 65420,,
,,Choose Correct Table of 736 = ?,3,,736 1472 2208 2944 3680 4426 5152 5888 6624 7360,736 1472 2208 2944 3680 4416 5162 5888 6624 7360,736 1472 2208 2944 3680 4416 5152 5888 6624 7360,,
,,Choose Correct Table of 917 = ?,1,,917 1834 2751 3668 4585 5502 6419 7336 8253 9170,917 1834 2751 3668 4585 5512 6419 7336 8253 9170,917 1834 2751 3668 4585 5502 6429 7336 8253 9170,,
,,Choose Correct Table of 2189 = ?,2,,2189 4378 6567 8756 10955 13134 15323 17512 19701 21890,2189 4378 6567 8756 10945 13134 15323 17512 19701 21890,2189 4378 6567 8756 10945 13144 15323 17522 19701 21890,,
,,Choose Correct Table of 105 = ?,3,,105 210 315 420 535 630 735 840 945 1050,105 210 315 420 525 630 745 840 945 1050,105 210 315 420 525 630 735 840 945 1050,,
,,4 1 3 x 4 0 8 = ?,2,,168604,168504,168554,,
,,8 1 6 x 8 0 8 = ?,2,,. 6 6 9 5 8 2,6 5 9 3 2 8,6 5 8 9 4 8,,
,,3 4 1 x 3 0 4 = ?,2,,1 0 3 6 5 4,1 0 3 6 6 4,1 0 3 6 7 4,,
,,4 0 4 x 4 1 1 = ?,1,,1 6 6 0 4 4,1 6 7 0 4 5,1 6 7 5 2 1 5,,
,,7 0 7 x 7 1 1 = ?,1,,5 0 2 6 7 7,5 0 2 6 6 7,5 0 2 6 8 7,,
,,5 1 5 x 5 0 5 = ?,1,,2 6 0 0 7 5,2 6 1 1 7 5,2 6 2 2 7 5,,
,,7 3 2 4 1 - 5 9 2 4 3 = ?,3,,1 3 9 5 2,1 3 9 8 2,1 3 9 9 8,,
,,1 2 1 6 6 4 - 3 4 5 9 = ?,1,,1 1 8 2 0 5,1 1 8 3 0 5,1 1 8 4 0 5,,
,,2 4 7 3 9 6 - 3 5 9 3 = ?,2,,2 4 3 9 0 5,2 4 3 8 0 3,2 4 3 9 0 3,,
,,3 4 6 7 - 1 8 2 3 = ?,1,,1644,1654,1664,,
,,2 8 2 + 8 2 5 = ?,2,,1117,1107,1127,,
,,4 6 5 + 4 7 8 = ?,3,,953,933,943,,
